datetime,open,high,low,close
2025-02-06 22:00:00,2859.29004,2867.46997,2858.33008,2866.08008
2025-02-06 23:00:00,2866.1001,2870.37012,2863.70996,2864.54004
2025-02-07 00:00:00,2864.30005,2864.97998,2855.65991,2856.81006
2025-02-07 01:00:00,2856.83008,2859.83008,2841.33008,2842.06006
2025-02-07 02:00:00,2842.62012,2853.31006,2834.3501,2850.65991
2025-02-07 03:00:00,2850.6499,2854.80005,2848.87988,2848.87988
2025-02-07 04:00:00,2848.41992,2852.71997,2848.26001,2852.43994
2025-02-07 05:00:00,2852.46997,2853.72998,2849.95996,2852.72998
2025-02-07 06:00:00,2852.62988,2854.29004,2850.51001,2854.05005
2025-02-07 07:00:00,2854.0,2857.3501,2853.8999,2856.52002
2025-02-07 08:00:00,2856.63989,2857.18994,2855.02002,2856.01001
2025-02-07 10:00:00,2855.93994,2858.72998,2855.84009,2858.11011
2025-02-07 11:00:00,2858.08008,2860.56006,2858.08008,2858.58008
2025-02-07 12:00:00,2858.70996,2868.22998,2857.93994,2866.31006
2025-02-07 13:00:00,2866.27002,2869.34009,2865.61011,2868.81006
2025-02-07 14:00:00,2868.83008,2870.62012,2866.16992,2867.31006
2025-02-07 15:00:00,2867.26001,2869.63989,2866.30005,2866.62012
2025-02-07 16:00:00,2866.66992,2867.08008,2862.16992,2862.31006
2025-02-07 17:00:00,2862.25,2866.22998,2859.1001,2860.75
2025-02-07 18:00:00,2860.72998,2865.72998,2860.37988,2864.26001
2025-02-07 19:00:00,2864.22998,2866.68994,2863.38989,2866.54004
2025-02-07 20:00:00,2866.38989,2870.72998,2865.6499,2869.04004
2025-02-07 21:00:00,2869.05005,2869.27002,2863.5,2867.6499
2025-02-07 22:00:00,2867.62988,2868.37012,2865.21997,2867.80005
2025-02-07 23:00:00,2867.81006,2868.06006,2863.6499,2863.79004
2025-02-08 00:00:00,2863.8501,2871.06006,2852.70996,2862.63989
2025-02-08 01:00:00,2862.72998,2878.33008,2856.33008,2876.65991
2025-02-08 02:00:00,2874.87988,2886.81006,2873.72998,2880.62012
2025-02-08 03:00:00,2881.1001,2881.55005,2860.55005,2860.79004
2025-02-08 04:00:00,2860.6499,2862.77002,2853.47998,2860.21997
2025-02-08 05:00:00,2860.13989,2865.21997,2859.79004,2861.25
2025-02-08 06:00:00,2861.45996,2863.20996,2859.01001,2860.29004
2025-02-08 07:00:00,2860.12988,2863.88989,2859.47998,2860.79004
2025-02-08 08:00:00,2860.81006,2863.37012,2860.55005,2860.87012
2025-02-10 10:00:00,2861.3999,2870.31006,2860.44995,2867.62988
2025-02-10 11:00:00,2867.80005,2869.31006,2865.87988,2868.01001
2025-02-10 12:00:00,2867.96997,2876.69995,2866.11011,2871.94995
2025-02-10 13:00:00,2871.84009,2874.97998,2871.45996,2873.90991
2025-02-10 14:00:00,2874.12988,2875.83008,2871.41992,2875.63989
2025-02-10 15:00:00,2875.6499,2879.6499,2874.55005,2879.17993
2025-02-10 16:00:00,2879.33008,2880.1001,2876.21997,2879.30005
2025-02-10 17:00:00,2879.3501,2892.30005,2878.97998,2888.47998
2025-02-10 18:00:00,2888.52002,2896.66992,2886.77002,2895.71997
2025-02-10 19:00:00,2895.70996,2898.72998,2892.3999,2896.68994
2025-02-10 20:00:00,2896.65991,2903.27002,2896.3999,2903.01001
2025-02-10 21:00:00,2903.05005,2906.19995,2898.22998,2902.42993
2025-02-10 22:00:00,2902.51001,2905.81006,2898.41992,2904.76001
2025-02-10 23:00:00,2904.69995,2907.0,2902.84009,2903.02002
2025-02-11 00:00:00,2903.12988,2911.12988,2899.8501,2901.16992
2025-02-11 01:00:00,2901.06006,2909.26001,2896.6001,2908.68994
2025-02-11 02:00:00,2908.70996,2911.43994,2904.6001,2909.08008
2025-02-11 03:00:00,2909.20996,2910.31006,2899.26001,2901.08008
2025-02-11 04:00:00,2901.1001,2904.45996,2896.68994,2903.34009
2025-02-11 05:00:00,2903.3999,2906.97998,2900.95996,2905.19995
2025-02-11 06:00:00,2905.20996,2906.71997,2902.70996,2904.41992
2025-02-11 07:00:00,2904.44995,2907.72998,2903.02002,2907.52002
2025-02-11 08:00:00,2906.93994,2908.26001,2905.37988,2907.96997
2025-02-11 10:00:00,2908.38989,2921.69995,2908.38989,2917.8999
2025-02-11 11:00:00,2917.95996,2925.02002,2916.47998,2922.62988
2025-02-11 12:00:00,2922.97998,2936.11011,2919.79004,2934.1001
2025-02-11 13:00:00,2934.06006,2942.68994,2906.16992,2919.21997
2025-02-11 14:00:00,2918.92993,2925.83008,2911.75,2919.72998
2025-02-11 15:00:00,2919.70996,2920.70996,2915.09009,2916.3999
2025-02-11 16:00:00,2916.23999,2923.81006,2915.46997,2923.04004
2025-02-11 17:00:00,2923.06006,2929.54004,2915.6001,2917.92993
2025-02-11 18:00:00,2918.05005,2918.3999,2907.45996,2913.54004
2025-02-11 19:00:00,2913.33008,2915.27002,2907.09009,2907.46997
2025-02-11 20:00:00,2907.26001,2912.30005,2903.12988,2903.27002
2025-02-11 21:00:00,2903.18994,2907.16992,2902.0,2902.72998
2025-02-11 22:00:00,2902.58008,2906.77002,2902.30005,2903.96997
2025-02-11 23:00:00,2903.94995,2904.31006,2887.29004,2889.53003
2025-02-12 00:00:00,2889.18994,2898.27002,2881.8999,2896.79004
2025-02-12 01:00:00,2896.56006,2904.40991,2895.05005,2897.02002
2025-02-12 02:00:00,2896.94995,2906.62988,2891.12988,2904.83008
2025-02-12 03:00:00,2904.81006,2908.72998,2902.3501,2902.40991
2025-02-12 04:00:00,2902.37012,2907.33008,2899.72998,2905.68994
2025-02-12 05:00:00,2905.6001,2907.22998,2903.42993,2905.95996
2025-02-12 06:00:00,2906.08008,2906.42993,2899.8501,2900.29004
2025-02-12 07:00:00,2900.26001,2900.51001,2894.25,2897.66992
2025-02-12 08:00:00,2897.71997,2899.72998,2897.5,2897.61011
2025-02-12 10:00:00,2897.41992,2900.81006,2897.31006,2898.62988
2025-02-12 11:00:00,2898.88989,2898.88989,2889.52002,2892.31006
2025-02-12 12:00:00,2892.30005,2897.81006,2883.77002,2893.38989
2025-02-12 13:00:00,2893.37988,2897.44995,2891.91992,2892.52002
2025-02-12 14:00:00,2892.46997,2893.08008,2886.96997,2889.1001
2025-02-12 15:00:00,2889.1001,2890.51001,2884.1499,2885.54004
2025-02-12 16:00:00,2885.6499,2888.13989,2883.79004,2886.41992
2025-02-12 17:00:00,2886.33008,2894.73999,2885.76001,2892.81006
2025-02-12 18:00:00,2892.81006,2895.84009,2890.93994,2892.81006
2025-02-12 19:00:00,2892.95996,2894.09009,2888.12012,2891.8501
2025-02-12 20:00:00,2891.75,2893.45996,2886.47998,2886.81006
2025-02-12 21:00:00,2886.66992,2889.91992,2879.47998,2882.83008
