datetime,open,high,low,close
2025-01-15 23:00:00,1.2224,1.2225,1.2201,1.2214
2025-01-16 00:00:00,1.2214,1.2306,1.2212,1.2298
2025-01-16 01:00:00,1.2299,1.2306,1.2263,1.2268
2025-01-16 02:00:00,1.2266,1.2276,1.2245,1.2258
2025-01-16 03:00:00,1.2258,1.226,1.2194,1.2212
2025-01-16 04:00:00,1.2212,1.2228,1.221,1.2215
2025-01-16 05:00:00,1.2216,1.223,1.2213,1.2229
2025-01-16 06:00:00,1.223,1.2232,1.2224,1.2231
2025-01-16 07:00:00,1.2231,1.2245,1.2229,1.2243
2025-01-16 08:00:00,1.2243,1.2245,1.2235,1.2241
2025-01-16 09:00:00,1.2241,1.2245,1.2237,1.2239
2025-01-16 10:00:00,1.2241,1.2243,1.2234,1.2243
2025-01-16 11:00:00,1.2243,1.2248,1.2232,1.2246
2025-01-16 12:00:00,1.2245,1.2246,1.2227,1.2229
2025-01-16 13:00:00,1.223,1.2233,1.222,1.2223
2025-01-16 14:00:00,1.2224,1.2227,1.2222,1.2226
2025-01-16 15:00:00,1.2226,1.2232,1.2216,1.2218
2025-01-16 16:00:00,1.2218,1.2219,1.2207,1.221
2025-01-16 17:00:00,1.221,1.2221,1.221,1.222
2025-01-16 18:00:00,1.2215,1.2226,1.2201,1.2219
2025-01-16 19:00:00,1.222,1.2224,1.2196,1.2205
2025-01-16 20:00:00,1.2206,1.2213,1.219,1.2198
2025-01-16 21:00:00,1.2197,1.221,1.2193,1.2203
2025-01-16 22:00:00,1.2203,1.2213,1.2201,1.221
2025-01-16 23:00:00,1.221,1.2212,1.2191,1.2197
2025-01-17 00:00:00,1.2199,1.22,1.2176,1.2197
2025-01-17 01:00:00,1.2197,1.2203,1.2176,1.2198
2025-01-17 02:00:00,1.2198,1.2239,1.2189,1.2235
2025-01-17 03:00:00,1.2234,1.2249,1.2218,1.2243
2025-01-17 04:00:00,1.2243,1.226,1.2236,1.2237
2025-01-17 05:00:00,1.2237,1.2247,1.2228,1.2233
2025-01-17 06:00:00,1.2232,1.2241,1.2229,1.2236
2025-01-17 07:00:00,1.2235,1.2237,1.2229,1.2231
2025-01-17 08:00:00,1.2231,1.2241,1.2228,1.2241
2025-01-17 09:00:00,1.2241,1.2245,1.2236,1.2237
2025-01-17 10:00:00,1.2237,1.2238,1.2234,1.2235
2025-01-17 11:00:00,1.2235,1.224,1.2231,1.2236
2025-01-17 12:00:00,1.2237,1.2237,1.2229,1.2233
2025-01-17 13:00:00,1.2234,1.2245,1.2232,1.2234
2025-01-17 14:00:00,1.2233,1.2238,1.2229,1.2234
2025-01-17 15:00:00,1.2233,1.2235,1.2219,1.2223
2025-01-17 16:00:00,1.2221,1.2223,1.2213,1.2218
2025-01-17 17:00:00,1.2217,1.2218,1.2206,1.2216
